"common_name","cpue_kg_per_ha_der","date_dim$full_date","date_dim$year","depth_m","field_identified_taxonomy_dim$scientific_name","latitude_dd","leg","longitude_dd","partition","pass","performance","project","sampling_end_hhmmss","sampling_start_hhmmss","scientific_name","station_code","statistical_partition_dim$statistical_partition_type","subsample_count","subsample_wt_kg","target_station_design_dim$stn_invalid_for_trawl_date_whid","total_catch_numbers","total_catch_wt_kg","trawl_id","vessel"
"darkblotched rockfish","0.000286919799","2015-05-29 00:00:00","2015","113.4000","Sebastes crameri","46.77805556","1","-124.56944444","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","181843","180148","Sebastes crameri","6808","NA","58","4.7000","0","58","4.7000","201503008040","Excalibur"
"darkblotched rockfish","0.000085945642","2015-05-30 00:00:00","2015","119.8000","Sebastes crameri","46.18472222","1","-124.39083333","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","181109","175507","Sebastes crameri","7395","NA","12","1.3000","0","12","1.3000","201503008042","Excalibur"
"darkblotched rockfish","0.000010272920","2015-05-30 00:00:00","2015","117.9000","Sebastes crameri","46.09305556","1","-124.35333333","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","193752","192126","Sebastes crameri","7507","NA","2","0.1600","0","2","0.1600","201503008043","Excalibur"
"darkblotched rockfish","0.000527617401","2015-05-31 00:00:00","2015","127.4000","Sebastes crameri","46.01277778","1","-124.34722222","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","055951","054151","Sebastes crameri","7584","NA","105","9.0700","0","105","9.0700","201503008044","Excalibur"
"darkblotched rockfish","0.000016571223","2015-05-31 00:00:00","2015","139.9000","Sebastes crameri","45.98777778","1","-124.38916667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","082928","081244","Sebastes crameri","7622","NA","3","0.2800","0","3","0.2800","201503008045","Excalibur"
"darkblotched rockfish","0.000039516176","2015-05-31 00:00:00","2015","151.6000","Sebastes crameri","45.86333333","1","-124.41833333","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","103046","101316","Sebastes crameri","7769","NA","6","0.6400","0","6","0.6400","201503008046","Excalibur"
"darkblotched rockfish","0.000017617228","2015-05-31 00:00:00","2015","169.7000","Sebastes crameri","45.69111111","1","-124.42416667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","124923","123241","Sebastes crameri","7947","NA","3","0.3000","0","3","0.3000","201503008047","Excalibur"
"darkblotched rockfish","0.000070442299","2015-05-31 00:00:00","2015","174.2000","Sebastes crameri","45.61750000","1","-124.41000000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","145409","143750","Sebastes crameri","8016","NA","9","1.2000","0","9","1.2000","201503008048","Excalibur"
"darkblotched rockfish","0.000169170680","2015-06-01 00:00:00","2015","131.9000","Sebastes crameri","45.32833333","1","-124.17861111","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","060609","054838","Sebastes crameri","8334","NA","32","2.8000","0","32","2.8000","201503008050","Excalibur"
"darkblotched rockfish","0.000238822058","2015-06-02 00:00:00","2015","168.1000","Sebastes crameri","45.09194444","1","-124.26916667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","055711","054120","Sebastes crameri","8575","NA","39","3.7500","0","39","3.7500","201503008055","Excalibur"
"darkblotched rockfish","0.000418563976","2015-06-06 00:00:00","2015","238.8000","Sebastes crameri","44.82916667","2","-124.54611111","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","130749","125000","Sebastes crameri","8846","NA","46","8.3000","0","46","8.3000","201503008058","Excalibur"
"darkblotched rockfish","0.000119890891","2015-06-08 00:00:00","2015","183.0000","Sebastes crameri","43.94805556","2","-124.60500000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","113616","111952","Sebastes crameri","9683","NA","14","2.1500","0","14","2.1500","201503008067","Excalibur"
"darkblotched rockfish","0.094270171192","2015-06-08 00:00:00","2015","387.1000","Sebastes crameri","43.75555556","2","-124.66472222","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","145243","143700","Sebastes crameri","9868","NA","100","130.7500","0","1369","1790.0500","201503008068","Excalibur"
"darkblotched rockfish","0.000013406827","2015-06-09 00:00:00","2015","131.8000","Sebastes crameri","43.58027778","2","-124.45250000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","060535","054904","Sebastes crameri","10024","NA","3","0.2200","0","3","0.2200","201503008070","Excalibur"
"darkblotched rockfish","0.000092682703","2015-06-09 00:00:00","2015","375.6000","Sebastes crameri","43.58305556","2","-124.65638889","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","095646","093826","Sebastes crameri","10018","NA","2","1.7000","0","2","1.7000","201503008071","Excalibur"
"darkblotched rockfish","0.000761588662","2015-06-10 00:00:00","2015","337.1000","Sebastes crameri","43.10611111","2","-124.86833333","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","153633","152051","Sebastes crameri","10355","NA","19","12.4000","0","19","12.4000","201503008075","Excalibur"
"darkblotched rockfish","0.001382412469","2015-06-10 00:00:00","2015","280.1000","Sebastes crameri","42.87666667","2","-124.83055556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","182340","180728","Sebastes crameri","10484","NA","37","21.6500","0","37","21.6500","201503008076","Excalibur"
"darkblotched rockfish","0.000034437956","2015-06-18 00:00:00","2015","260.1000","Sebastes crameri","42.33361111","3","-124.68000000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","061125","055430","Sebastes crameri","10776","NA","1","0.6000","0","1","0.6000","201503008078","Excalibur"
"darkblotched rockfish","0.000163647881","2015-06-18 00:00:00","2015","346.1000","Sebastes crameri","42.06277778","3","-124.60666667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","180708","175111","Sebastes crameri","10942","NA","4","2.5000","0","4","2.5000","201503008082","Excalibur"
"darkblotched rockfish","0.000232357304","2015-06-19 00:00:00","2015","215.6000","Sebastes crameri","41.76250000","3","-124.47277778","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","081306","075641","Sebastes crameri","11166","NA","17","3.6500","0","17","3.6500","201503008085","Excalibur"
"darkblotched rockfish","5.39056E-7","2015-06-19 00:00:00","2015","96.5000","Sebastes crameri","41.89305556","3","-124.44694444","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","121504","115744","Sebastes crameri","11066","NA","1","0.0100","0","1","0.0100","201503008086","Excalibur"
"darkblotched rockfish","0.000071315641","2015-06-20 00:00:00","2015","113.6000","Sebastes crameri","41.19444444","3","-124.30666667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","115640","113914","Sebastes crameri","11625","NA","16","1.3500","0","16","1.3500","201503008091","Excalibur"
"darkblotched rockfish","0.000089999792","2015-06-23 00:00:00","2015","331.7000","Sebastes crameri","39.32611111","3","-123.97666667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","060433","054718","Sebastes crameri","13036","NA","3","1.7000","0","3","1.7000","201503008106","Excalibur"
"darkblotched rockfish","0.000004680965","2015-06-24 00:00:00","2015","119.1000","Sebastes crameri","38.50583333","3","-123.42361111","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","080856","075121","Sebastes crameri","13455","NA","1","0.0800","0","1","0.0800","201503008112","Excalibur"
"darkblotched rockfish","0.000335709957","2015-06-24 00:00:00","2015","302.3000","Sebastes crameri","38.31638889","3","-123.52777778","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","104346","102605","Sebastes crameri","13582","NA","20","6.0500","0","20","6.0500","201503008113","Excalibur"
"darkblotched rockfish","0.000006388359","2015-06-26 00:00:00","2015","150.7000","Sebastes crameri","37.39416667","3","-122.86361111","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","091153","085529","Sebastes crameri","14181","NA","1","0.1000","0","1","0.1000","201503008120","Excalibur"
"darkblotched rockfish","0.000020751667","2015-07-06 00:00:00","2015","312.1000","Sebastes crameri","34.87777778","4","-120.95250000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","064620","062946","Sebastes crameri","16216","NA","1","0.3000","0","1","0.3000","201503008145","Excalibur"
"darkblotched rockfish","0.002581682695","2015-08-22 00:00:00","2015","286.5000","Sebastes crameri","44.86638889","1","-124.54388889","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","155409","153647","Sebastes crameri","8811","NA","77","44.9000","0","77","44.9000","201503010005","Ms. Julie"
"darkblotched rockfish","0.000238935206","2015-08-23 00:00:00","2015","270.9000","Sebastes crameri","45.36222222","1","-124.38972222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","090941","085226","Sebastes crameri","8293","NA","13","4.4500","0","13","4.4500","201503010007","Ms. Julie"
"darkblotched rockfish","0.000030530823","2015-08-23 00:00:00","2015","152.4000","Sebastes crameri","45.89722222","1","-124.45055556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","145900","144132","Sebastes crameri","7732","NA","6","0.5500","0","6","0.5500","201503010008","Ms. Julie"
"darkblotched rockfish","0.000086151021","2015-08-25 00:00:00","2015","200.4000","Sebastes crameri","46.70250000","1","-124.78527778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","065603","063851","Sebastes crameri","6898","NA","3","1.5000","0","3","1.5000","201503010013","Ms. Julie"
"darkblotched rockfish","0.000116982593","2015-08-26 00:00:00","2015","166.5000","Sebastes crameri","47.90694444","1","-125.14277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","162537","161043","Sebastes crameri","5316","NA","11","1.7500","0","11","1.7500","201503010018","Ms. Julie"
"darkblotched rockfish","0.000152048427","2015-08-27 00:00:00","2015","193.0000","Sebastes crameri","48.30305556","1","-125.21805556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","100908","095229","Sebastes crameri","4573","NA","5","2.4000","0","5","2.4000","201503010020","Ms. Julie"
"darkblotched rockfish","0.000029671942","2015-08-27 00:00:00","2015","151.9000","Sebastes crameri","48.22111111","1","-125.30277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","125612","123916","Sebastes crameri","4744","NA","1","0.5200","0","1","0.5200","201503010021","Ms. Julie"
"darkblotched rockfish","","2015-08-22 00:00:00","2015","284.8000","Sebastes crameri","44.73833333","1","-124.69305556","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","8944","NA","20","16.4000","0","87","71.7000","201503017006","Noahs Ark"
"darkblotched rockfish","0.000230701580","2015-08-28 00:00:00","2015","183.4000","Sebastes crameri","47.15833333","1","-124.93444444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","110317","104619","Sebastes crameri","6413","NA","28","4.1500","0","28","4.1500","201503010027","Ms. Julie"
"darkblotched rockfish","0.000001270164","2015-08-28 00:00:00","2015","112.7000","Sebastes crameri","47.09194444","1","-124.70944444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","140623","135000","Sebastes crameri","6501","NA","1","0.0200","0","1","0.0200","201503010028","Ms. Julie"
"darkblotched rockfish","0.000022862814","2015-08-28 00:00:00","2015","104.6000","Sebastes crameri","47.11861111","1","-124.68583333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","161114","155437","Sebastes crameri","6462","NA","4","0.3800","0","4","0.3800","201503010029","Ms. Julie"
"darkblotched rockfish","0.000096252905","2015-08-30 00:00:00","2015","110.6000","Sebastes crameri","46.34388889","1","-124.38166667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","161149","155457","Sebastes crameri","7251","NA","14","1.6500","0","14","1.6500","201503010032","Ms. Julie"
"darkblotched rockfish","0.000197680795","2015-08-31 00:00:00","2015","146.6000","Sebastes crameri","45.69916667","1","-124.30333333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","132115","130426","Sebastes crameri","7950","NA","29","3.2500","0","29","3.2500","201503010036","Ms. Julie"
"darkblotched rockfish","0.000008512308","2015-08-31 00:00:00","2015","133.2000","Sebastes crameri","45.59861111","1","-124.21861111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","151348","145655","Sebastes crameri","8056","NA","1","0.1600","0","1","0.1600","201503010037","Ms. Julie"
"darkblotched rockfish","0.002144792954","2015-09-04 00:00:00","2015","369.6000","Sebastes crameri","44.64666667","2","-124.82527778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","190217","184313","Sebastes crameri","9035","NA","1","1.8200","0","17","31.7400","201503010042","Ms. Julie"
"darkblotched rockfish","0.000013914359","2015-09-05 00:00:00","2015","199.3000","Sebastes crameri","44.70972222","2","-124.58194444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","155234","153428","Sebastes crameri","8980","NA","3","0.2600","0","3","0.2600","201503010045","Ms. Julie"
"darkblotched rockfish","0.000012046766","2015-09-05 00:00:00","2015","179.9000","Sebastes crameri","44.64555556","2","-124.58000000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","180800","174843","Sebastes crameri","9041","NA","2","0.2400","0","2","0.2400","201503010046","Ms. Julie"
"darkblotched rockfish","0.000134038828","2015-09-06 00:00:00","2015","334.6000","Sebastes crameri","44.60277778","2","-124.79611111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","112802","110931","Sebastes crameri","9065","NA","3","2.5000","0","3","2.5000","201503010048","Ms. Julie"
"darkblotched rockfish","0.000111567303","2015-09-06 00:00:00","2015","378.7000","Sebastes crameri","44.44666667","2","-124.85250000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","135834","133953","Sebastes crameri","9219","NA","1","2.0500","0","1","2.0500","201503010049","Ms. Julie"
"darkblotched rockfish","0.000319196980","2015-09-08 00:00:00","2015","193.2000","Sebastes crameri","43.58944444","2","-124.56000000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","164138","162301","Sebastes crameri","10021","NA","40","6.3600","0","40","6.3600","201503010061","Ms. Julie"
"darkblotched rockfish","0.000074912146","2015-09-09 00:00:00","2015","105.6000","Sebastes crameri","43.74111111","2","-124.31861111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","174637","172855","Sebastes crameri","9877","NA","7","1.3400","0","7","1.3400","201503010063","Ms. Julie"
"darkblotched rockfish","0.000149562739","2015-09-10 00:00:00","2015","144.7000","Sebastes crameri","43.65277778","2","-124.48583333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","071809","065948","Sebastes crameri","9963","NA","17","2.9500","0","17","2.9500","201503010064","Ms. Julie"
"darkblotched rockfish","0.000126976802","2015-09-11 00:00:00","2015","348.3000","Sebastes crameri","43.19527778","2","-124.81111111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","191029","185018","Sebastes crameri","10317","NA","4","2.8000","0","4","2.8000","201503010067","Ms. Julie"
"darkblotched rockfish","0.000596825423","2015-09-12 00:00:00","2015","231.3000","Sebastes crameri","43.10444444","2","-124.75083333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","071503","065601","Sebastes crameri","10377","NA","65","12.7500","0","65","12.7500","201503010068","Ms. Julie"
"darkblotched rockfish","0.000017567949","2015-09-13 00:00:00","2015","130.6000","Sebastes crameri","42.93361111","2","-124.70750000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","072751","071003","Sebastes crameri","10471","NA","3","0.3200","0","3","0.3200","201503010071","Ms. Julie"
"darkblotched rockfish","0.000027571237","2015-09-13 00:00:00","2015","380.8000","Sebastes crameri","42.77027778","2","-124.75972222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","095745","093940","Sebastes crameri","10548","NA","1","0.5400","0","1","0.5400","201503010072","Ms. Julie"
"darkblotched rockfish","0.000009955068","2015-09-18 00:00:00","2015","105.3000","Sebastes crameri","40.88361111","3","-124.35027778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","192310","190920","Sebastes crameri","11837","NA","1","0.1400","0","1","0.1400","201503010082","Ms. Julie"
"darkblotched rockfish","0.000006411333","2015-09-19 00:00:00","2015","119.9000","Sebastes crameri","40.67944444","3","-124.48833333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","072635","070906","Sebastes crameri","11931","NA","2","0.1200","0","2","0.1200","201503010083","Ms. Julie"
"darkblotched rockfish","0.000009045887","2015-09-19 00:00:00","2015","144.6000","Sebastes crameri","40.58138889","3","-124.55166667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","090622","084921","Sebastes crameri","11967","NA","1","0.1600","0","1","0.1600","201503010084","Ms. Julie"
"darkblotched rockfish","0.000007976405","2015-09-21 00:00:00","2015","197.6000","Sebastes crameri","39.11833333","3","-123.95277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","122349","120656","Sebastes crameri","13162","NA","1","0.1400","0","1","0.1400","201503010094","Ms. Julie"
"darkblotched rockfish","0.000085590797","2015-09-22 00:00:00","2015","133.9000","Sebastes crameri","38.37388889","3","-123.40166667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","165558","163848","Sebastes crameri","13542","NA","10","1.5000","0","10","1.5000","201503010098","Ms. Julie"
"darkblotched rockfish","0.000006177089","2015-09-23 00:00:00","2015","111.0000","Sebastes crameri","38.47416667","3","-123.36833333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","094229","092547","Sebastes crameri","13477","NA","1","0.1000","0","1","0.1000","201503010100","Ms. Julie"
"darkblotched rockfish","0.000678362780","2015-09-23 00:00:00","2015","309.8000","Sebastes crameri","38.28583333","3","-123.52388889","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","120549","114929","Sebastes crameri","13604","NA","8","2.6000","0","36","11.7950","201503010101","Ms. Julie"
"darkblotched rockfish","0.000008928174","2015-09-24 00:00:00","2015","353.0000","Sebastes crameri","37.46000000","3","-122.98277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","072456","071030","Sebastes crameri","14117","NA","1","0.1400","0","1","0.1400","201503010103","Ms. Julie"
"darkblotched rockfish","0.000176591528","2015-08-22 00:00:00","2015","403.6000","Sebastes crameri","44.64638889","1","-124.85361111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","134938","133005","Sebastes crameri","9034","NA","3","3.6500","0","3","3.6500","201503017004","Noahs Ark"
"darkblotched rockfish","0.000162518712","2015-08-24 00:00:00","2015","227.1000","Sebastes crameri","46.66305556","1","-124.76916667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","162041","160111","Sebastes crameri","6931","NA","12","3.4500","0","12","3.4500","201503017012","Noahs Ark"
"darkblotched rockfish","0.000013662324","2015-08-24 00:00:00","2015","148.9000","Sebastes crameri","46.76333333","1","-124.71972222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","193946","192121","Sebastes crameri","6836","NA","3","0.2400","0","3","0.2400","201503017013","Noahs Ark"
"darkblotched rockfish","0.000068720846","2015-08-27 00:00:00","2015","128.6000","Sebastes crameri","46.93277778","1","-124.70638889","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","133607","131805","Sebastes crameri","6685","NA","12","1.1500","0","12","1.1500","201503017027","Noahs Ark"
"darkblotched rockfish","0.000301411307","2015-08-30 00:00:00","2015","123.8000","Sebastes crameri","46.58694444","1","-124.47194444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","125510","123624","Sebastes crameri","7002","NA","52","6.4500","0","52","6.4500","201503017031","Noahs Ark"
"darkblotched rockfish","0.001129768367","2015-08-30 00:00:00","2015","240.0000","Sebastes crameri","46.09305556","1","-124.69777778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","193724","191156","Sebastes crameri","7497","NA","72","29.5500","0","72","29.5500","201503017033","Noahs Ark"
"darkblotched rockfish","0.000258924855","2015-08-31 00:00:00","2015","181.6000","Sebastes crameri","45.07055556","1","-124.30083333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","121130","115222","Sebastes crameri","8609","NA","37","5.1500","0","37","5.1500","201503017036","Noahs Ark"
"darkblotched rockfish","0.000772894233","2015-09-04 00:00:00","2015","170.7000","Sebastes crameri","45.45472222","2","-124.28222222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","070304","064526","Sebastes crameri","8192","NA","107","13.0000","0","107","13.0000","201503017037","Noahs Ark"
"darkblotched rockfish","0.001386958505","2015-09-04 00:00:00","2015","193.1000","Sebastes crameri","45.62055556","2","-124.43416667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","102257","100522","Sebastes crameri","8015","NA","105","25.8600","0","105","25.8600","201503017038","Noahs Ark"
"darkblotched rockfish","0.000042368943","2015-09-06 00:00:00","2015","225.7000","Sebastes crameri","43.68750000","2","-124.58055556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","070025","064159","Sebastes crameri","9930","NA","5","0.7000","0","5","0.7000","201503017047","Noahs Ark"
"darkblotched rockfish","0.000615767862","2015-09-06 00:00:00","2015","222.2000","Sebastes crameri","43.90555556","2","-124.67000000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","094804","092917","Sebastes crameri","9712","NA","34","10.9000","0","34","10.9000","201503017048","Noahs Ark"
"darkblotched rockfish","0.000023679627","2015-09-06 00:00:00","2015","209.5000","Sebastes crameri","43.90277778","2","-124.59694444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","123803","121820","Sebastes crameri","9714","NA","3","0.4400","0","3","0.4400","201503017049","Noahs Ark"
"darkblotched rockfish","0.000097137959","2015-09-06 00:00:00","2015","145.3000","Sebastes crameri","43.94055556","2","-124.52500000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","152307","145737","Sebastes crameri","9685","NA","13","2.0500","0","13","2.0500","201503017050","Noahs Ark"
"darkblotched rockfish","0.000022490523","2015-09-08 00:00:00","2015","122.6000","Sebastes crameri","43.04222222","2","-124.61833333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","180007","174104","Sebastes crameri","10399","NA","3","0.3800","0","3","0.3800","201503017058","Noahs Ark"
