"studyName","Cycle","Event","Cast","Datetime UTC","Latitude (º)","Longitude (º)","Max Depth (m)","Notes"
P0605KN,2,297,25,"2006-05-18 02:19:56",33.44038,-122.1208,200,"file named 18214025dat.dat"
P0605KN,2,320,26,"2006-05-18 19:55:16",33.47914,-122.1242,210,
P0605KN,2,336,27,"2006-05-19 08:01:15",33.61792,-122.1298,200,
P0605KN,2,341,28,"2006-05-19 11:19:03",33.61882,-122.1353,600,
P0605KN,2,349,29,"2006-05-19 17:57:01",33.57962,-122.1292,210,
P0605KN,2,358,30,"2006-05-20 01:41:59",33.53695,-122.0937,2500,
P0605KN,2,370,31,"2006-05-20 08:04:07",33.49394,-122.0862,200,
P0605KN,2,383,32,"2006-05-20 18:08:08",33.43977,-122.0655,300,
P0605KN,2,392,33,"2006-05-21 00:50:12",33.40787,-122.048,100,
P0605KN,2,404,34,"2006-05-21 09:03:29",33.3634,-122.0386,200,
P0605KN,3,420,35,"2006-05-22 09:09:19",34.61168,-120.7666,50,
P0605KN,3,427,36,"2006-05-22 18:01:46",34.63456,-120.7664,70,"bottle 10 was fired ~2min after bottle 9 (at same depth)"
P0605KN,3,437,37,"2006-05-23 03:11:24",34.71472,-120.7708,50,
P0605KN,3,439,38,"2006-05-23 04:15:33",34.71672,-120.7682,40,
P0605KN,3,455,39,"2006-05-23 07:42:03",34.73909,-120.7575,40,
P0605KN,3,460,40,"2006-05-23 09:15:48",34.7454,-120.7665,50,
P0605KN,3,469,41,"2006-05-23 18:06:45",34.79214,-120.7953,70,
P0605KN,3,481,42,"2006-05-24 02:06:30",34.8206,-120.7655,50,
P0605KN,3,485,43,"2006-05-24 03:59:36",34.82084,-120.779,30,
P0605KN,3,497,44,"2006-05-24 08:59:50",34.86453,-120.797,50,
P0605KN,3,509,45,"2006-05-24 18:05:10",34.86323,-120.8268,70,
P0605KN,3,515,46,"2006-05-25 01:11:18",34.87729,-120.805,40,
P0605KN,3,530,47,"2006-05-25 09:58:23",34.83556,-120.8313,70,
P0605KN,4,537,48,"2006-05-26 07:38:43",34.04687,-121.3032,1650,
P0605KN,4,540,49,"2006-05-26 09:43:05",34.04565,-121.304,150,"didn't use this cast"
P0605KN,4,543,50,"2006-05-26 10:26:00",34.0453,-121.3043,150,
P0605KN,4,547,51,"2006-05-26 18:01:57",34.04736,-121.3677,150,
P0605KN,4,555,52,"2006-05-27 09:02:03",34.0178,-121.4277,150,
P0605KN,4,561,53,"2006-05-27 19:40:08",34.02025,-121.5188,150,"valve open on #2"
P0605KN,4,569,54,"2006-05-28 02:05:02",34.01154,-121.5379,150,
P0605KN,4,580,55,"2006-05-28 09:28:59",33.95965,-121.5714,150,
P0605KN,4,590,56,"2006-05-28 19:05:33",33.96804,-121.6232,150,
P0605KN,4,600,57,"2006-05-29 02:03:25",33.94008,-121.6222,150,
P0605KN,4,613,58,"2006-05-29 09:08:31",33.88656,-121.6455,150,"bottles 1 and 21 did not fire"
P0605KN,4,627,59,"2006-05-30 00:08:39",33.83449,-121.7205,2500,"destroyed ISUS sensor"
P0605KN,4,630,60,"2006-05-30 09:17:52",33.86508,-121.7218,150,
P0605KN,4,637,61,"2006-05-30 18:39:53",33.83575,-121.7013,150,"2nd conductivity sensor is defective"
P0605KN,4,664,62,"2006-05-31 09:35:25",33.75663,-121.7096,600,"bottles 1 and 21 did not fire"
P0605KN,5,673,63,"2006-06-01 09:14:22",32.85005,-123.9991,200,"bottles 1 and 21 did not fire"
P0605KN,5,679,64,"2006-06-01 13:06:55",32.85056,-123.9976,600,
P0605KN,5,685,65,"2006-06-01 18:12:18",32.82394,-124.0184,250,
P0605KN,5,679,66,"2006-06-01 13:06:55",32.85056,-123.9976,100,
P0605KN,5,703,67,"2006-06-02 08:58:50",32.77602,-124.0864,200,
P0605KN,5,714,68,"2006-06-02 19:36:42",32.74389,-124.1203,250,
P0605KN,5,724,69,"2006-06-03 02:05:09",32.7167,-124.1617,200,
P0605KN,5,737,70,"2006-06-03 09:03:43",32.66868,-124.1889,200,"bottle 21 did not fire"
P0605KN,5,750,71,"2006-06-03 18:32:44",32.61567,-124.2093,250,
P0605KN,5,766,72,"2006-06-04 09:03:06",32.4933,-124.2536,200,
P0605KN,5,774,73,"2006-06-04 18:46:32",32.43302,-124.2892,250,"Sun: good"
P0605KN,5,800,74,"2006-06-05 02:37:31",32.37777,-124.2835,80,
P0605KN,5,800,75,"2006-06-05 02:37:31",32.37777,-124.2835,800,"bottle 1 did not trip"
P0704TN,0,15,1,"2007-04-02 01:14:32",33.196,-118.381,,"test cast"
P0704TN,1,29,2,"2007-04-03 07:14:23",34.25,-120.836,100,
P0704TN,1,35,3,"2007-04-03 09:18:48",34.256,-120.841,200,
P0704TN,1,41,4,"2007-04-03 12:30:35",34.256,-120.841,600,
P0704TN,1,48,5,"2007-04-03 19:24:40",34.268,-120.876,500,
P0704TN,1,61,6,"2007-04-04 02:06:46",34.277,-120.884,50,
P0704TN,1,73,7,"2007-04-04 09:07:41",34.277,-120.911,200,"no samples, 2 bottles misfired"
P0704TN,1,76,8,"2007-04-04 09:51:58",34.277,-120.911,200,
P0704TN,1,89,9,"2007-04-04 19:02:32",34.293,-120.927,500,
P0704TN,1,99,10,"2007-04-05 02:09:53",34.331,-120.916,50,
P0704TN,1,112,11,"2007-04-05 09:13:02",34.331,-120.948,200,
P0704TN,1,126,12,"2007-04-05 18:13:33",34.358,-120.985,500,
P0704TN,1,136,13,"2007-04-06 01:15:56",34.374,-121.005,100,
P0704TN,1,148,14,"2007-04-06 09:12:45",34.359,-121.049,200,"cast aborted, no samples taken"
P0704TN,1,151,15,"2007-04-06 09:38:17",34.359,-121.054,200,
P0704TN,1,156,16,"2007-04-06 12:26:52",34.361,-121.063,800,
P0704TN,1,166,17,"2007-04-06 18:29:08",34.358,-121.075,500,
P0704TN,1,175,18,"2007-04-07 02:11:38",34.348,-121.104,27,
P0704TN,1,187,19,"2007-04-07 09:12:46",34.314,-121.148,200,
P0704TN,1,194,20,"2007-04-07 13:15:17",34.272,-121.166,121,
P0704TN,2,208,21,"2007-04-08 19:27:13",33.659,-123.132,500,
P0704TN,2,219,22,"2007-04-09 02:59:31",33.625,-123.133,200,
P0704TN,2,229,23,"2007-04-09 09:10:50",33.548,-123.156,200,
P0704TN,2,239,24,"2007-04-09 19:09:24",33.495,-123.212,500,
P0704TN,2,254,25,"2007-04-10 02:26:15",33.476,-123.239,1000,
P0704TN,2,263,26,"2007-04-10 09:28:51",33.406,-123.278,200,
P0704TN,2,276,27,"2007-04-10 18:16:11",33.402,-123.357,500,
P0704TN,2,288,28,"2007-04-11 01:25:52",33.38,-123.383,200,
P0704TN,2,303,29,"2007-04-11 09:27:59",33.328,-123.448,200,
P0704TN,2,319,30,"2007-04-11 18:34:19",33.341,-123.534,500,
P0704TN,2,336,31,"2007-04-12 04:48:59",33.318,-123.571,100,
P0704TN,2,347,32,"2007-04-12 09:23:08",33.28,-123.637,800,
P0704TN,3,361,33,"2007-04-14 03:12:29",34.226,-120.621,200,
P0704TN,3,373,34,"2007-04-14 09:11:00",34.222,-120.62,200,
P0704TN,3,381,35,"2007-04-14 18:44:24",34.184,-120.617,200,
P0704TN,4,390,36,"2007-04-15 09:12:39",34.227,-121.194,200,
P0704TN,4,395,37,"2007-04-15 12:19:28",34.206,-121.189,600,
P0704TN,4,406,38,"2007-04-15 19:41:34",34.16,-121.212,500,
P0704TN,4,418,39,"2007-04-16 02:39:09",34.02,-121.197,,
P0704TN,4,427,40,"2007-04-16 09:12:26",33.918,-121.158,200,
P0704TN,4,443,41,"2007-04-16 18:30:14",33.879,-121.138,500,
P0704TN,4,450,42,"2007-04-17 01:07:59",33.85,-121.109,200,
P0704TN,4,461,43,"2007-04-17 09:27:35",33.818,-121.083,200,
P0704TN,4,466,44,"2007-04-17 12:15:22",33.811,-121.078,600,
P0704TN,4,476,45,"2007-04-17 18:28:07",33.799,-121.078,500,
P0704TN,4,487,46,"2007-04-18 01:59:47",33.771,-121.021,200,
P0704TN,4,495,47,"2007-04-18 09:13:28",33.741,-121,200,
P0704TN,4,511,48,"2007-04-18 19:05:37",33.765,-120.925,500,
P0704TN,4,525,49,"2007-04-19 04:44:58",33.773,-120.839,200,
P0704TN,4,537,50,"2007-04-19 09:58:15",33.8,-120.779,500,
P0810MV,Transit,4,1,"2008-09-30 22:35:11",32.63117,-118.54422,500,"chla, EP1, Alf"
P0810MV,0,26,2,"2008-10-02 09:18:40",32.6433,-124.00238,500,
P0810MV,0,38,3,"2008-10-02 12:40:46",32.6388,-124.00635,500,"Th, TOC/TN"
P0810MV,1,49,4,"2008-10-03 08:01:11",34.06037,-121.05984,100,"microscopy Btl 24 didn't fire"
P0810MV,1,61,5,"2008-10-04 04:38:10",34.13043,-120.96667,200,incubations
P0810MV,1,69,6,"2008-10-04 08:55:25",34.1286,-120.97616,500,"FileName corrected; Btl 24 didn't fire"
P0810MV,1,77,7,"2008-10-04 11:48:25",34.13146,-120.95091,400,"Th, TOC/TN; Btl 9 didn't fire"
P0810MV,1,87,8,"2008-10-04 19:27:07",34.14314,-120.9174,500,
P0810MV,1,92.5,9,"2008-10-05 01:24:44",34.13962,-120.88313,200,"incubations, nutrients, new prod."
P0810MV,1,107,10,"2008-10-05 09:29:50",34.11372,-120.84061,500,
P0810MV,1,121,11,"2008-10-05 19:37:41",34.07361,-120.82937,500,
P0810MV,1,130.5,12,"2008-10-06 02:50:22",34.02337,-120.80061,500,"Th, dilutions; Btl 10 didn't fire"
P0810MV,1,139,13,"2008-10-06 09:47:48",33.96771,-120.76753,500,
P0810MV,1,156,14,"2008-10-06 20:24:32",33.89221,-120.75761,500,
P0810MV,1,165,15,"2008-10-07 03:38:04",33.86738,-120.75043,200,"incubations, nutrients"
P0810MV,1,178,16,"2008-10-07 09:35:32",33.78252,-120.73135,500,
P0810MV,1,196,17,"2008-10-07 19:39:06",33.70083,-120.75729,500,
P0810MV,1,,18,,,,200,incubations
P0810MV,1,217,19,"2008-10-08 09:26:42",33.53066,-120.72582,500,
P0810MV,2,230,20,"2008-10-09 09:30:18",32.88545,-123.68619,500,
P0810MV,2,234,21,"2008-10-09 12:36:31",32.88536,-123.68932,1000,"Th, TOC/TN"
P0810MV,2,249,22,"2008-10-10 09:41:26",32.80033,-123.66241,300,
P0810MV,2,254,23,"2008-10-11 01:58:13",32.77056,-123.66616,300,dilutions
P0810MV,2,263,24,"2008-10-11 08:54:55",32.71251,-123.67722,300,
P0810MV,2,273,25,"2008-10-11 19:50:09",32.68511,-123.68321,500,
P0810MV,2,278.5,26,"2008-10-12 01:42:17",32.60215,-123.66499,500,"Th, incubations"
P0810MV,2,291,27,"2008-10-12 10:12:23",32.44806,-123.73192,500,
P0810MV,2,303,28,"2008-10-12 19:28:47",32.4047,-123.75671,500,
P0810MV,2,313,29,"2008-10-13 02:04:06",32.35038,-123.7684,1000,"incubations, nutrients, new prod."
P0810MV,2,323,30,"2008-10-13 09:35:18",32.29121,-123.84355,500,
P0810MV,2,336,31,"2008-10-13 19:43:28",32.25834,-123.87231,500,
P0810MV,2,342,32,"2008-10-14 00:58:22",32.20962,-123.87642,1000,incubations
P0810MV,2,354,33,"2008-10-14 08:44:06",32.14938,-123.94529,500,
P0810MV,3,370,34,"2008-10-15 08:50:34",33.95001,-121.81324,500,
P0810MV,3,374,35,"2008-10-15 11:46:02",33.95131,-121.81153,200,"Th, TOC/TN"
P0810MV,3,386,36,"2008-10-15 18:52:31",33.96592,-121.78547,500,
P0810MV,3,394,37,"2008-10-16 00:00:31",33.9705,-121.77674,1000,"incubations, nutrients"
P0810MV,3,405,38,"2008-10-16 08:48:20",34.01767,-121.76477,500,
P0810MV,3,421,39,"2008-10-16 19:28:03",34.03856,-121.73911,500,
P0810MV,3,431,40,"2008-10-17 01:57:12",34.06372,-121.71993,500,
P0810MV,3,444,41,"2008-10-17 09:46:34",34.11468,-121.6762,500,
P0810MV,3,460,42,"2008-10-17 19:24:03",34.13656,-121.65417,500,
P0810MV,3,466,43,"2008-10-18 00:22:44",34.19288,-121.6385,1000,"incubations, nutrients"
P0810MV,3,479,44,"2008-10-18 08:42:26",34.20238,-121.58066,1000,
P0810MV,4,489,45,"2008-10-19 11:15:20",33.61118,-121.15623,500,
P0810MV,4,493,46,"2008-10-19 13:35:22",33.61673,-121.17168,500,"TOC/TN, Th"
P0810MV,4,503,47,"2008-10-19 19:38:37",33.62353,-121.1721,500,
P0810MV,4,511,48,"2008-10-20 03:20:21",33.64126,-121.17924,200,incubations
P0810MV,4,522,49,"2008-10-20 10:07:46",33.60717,-121.16362,500,
P0810MV,4,534,50,"2008-10-20 20:16:33",33.60991,-121.17783,500,
P0810MV,4,542,51,"2008-10-21 02:43:57",33.59966,-121.20121,500,"dilutions & zooplankton"
P0810MV,4,555,52,"2008-10-21 10:19:59",33.54841,-121.17907,1000,
P0810MV,5,570,53,"2008-10-22 08:58:23",32.92,-120.90345,500,
P0810MV,5,578,54,"2008-10-22 11:50:42",32.9002,-120.93407,1000,"Th, TOC/TN, nutrients"
P0810MV,5,590,55,"2008-10-22 19:13:55",32.87254,-120.93066,500,
P0810MV,5,603,56,"2008-10-23 03:21:22",32.85515,-120.90487,500,incubations
P0810MV,5,612,57,"2008-10-23 08:53:40",32.81728,-120.84192,500,
P0810MV,5,622,58,"2008-10-23 19:23:45",32.833,-120.74632,500,
P0810MV,5,630,60,,32.83707,-120.65192,500,"full dilution experiments"
P0810MV,5,643,62,"2008-10-24 09:34:29",32.85229,-120.56791,1000,
P0810MV,Transit,650,63,"2008-10-24 14:18:13",32.77911,-120.80198,500,
P0810MV,Transit,656,64,"2008-10-24 22:36:46",32.67376,-120.72121,300,
P0810MV,5.5,663,65,"2008-10-25 04:35:47",32.66673,-120.70979,300,
P0810MV,5.5,668,66,"2008-10-25 05:27:00",32.70173,-120.70869,300,
P0810MV,5.5,673,67,"2008-10-25 06:13:21",32.72472,-120.70752,300,
P0810MV,5.5,678,68,"2008-10-25 07:05:01",32.74981,-120.70897,300,
P0810MV,5.5,683,69,"2008-10-25 08:00:26",32.77611,-120.70705,300,
P0810MV,5.5,688,70,"2008-10-25 08:55:14",32.80278,-120.71004,300,
P0810MV,5.5,693,71,"2008-10-25 09:52:56",32.82624,-120.7094,300,
P0810MV,5.5,698,72,"2008-10-25 10:50:29",32.85153,-120.71079,300,
P0810MV,5.5,703,73,"2008-10-25 11:53:59",32.89653,-120.70881,300,
P0810MV,6,714,74,"2008-10-26 01:26:58",32.5989,-120.60652,1000,"incubation + Th"
P0810MV,6,727,75,"2008-10-26 09:39:58",32.59695,-120.56143,500,
P0810MV,6,743,76,"2008-10-26 19:23:26",32.59215,-120.46799,500,
P0810MV,6,752.5,77,"2008-10-27 02:41:32",32.57548,-120.38943,500,
P0810MV,6,763,78,"2008-10-27 08:52:35",32.56962,-120.32823,500,
P0810MV,6,778,,"2008-10-27 19:20:56",32.53856,-120.23418,500,
P0810MV,6,799,,"2008-10-28 12:17:32",32.49409,-120.11159,1000,
P0810MV,Transit,806,,"2008-10-28 22:14:20",32.31578,-119.70883,300,"Cast @ 300m for live animals"
P1106MV,Test,9,1,"2011-06-19 02:05:00",33.07555,-118.4713,500,"Front Survey - test cast"
P1106MV,"Upfront 1",13,2,"2011-06-20 04:00:00",33.89982,-122.0999,300,"Front Survey 1"
P1106MV,"Upfront 1",20,3,"2011-06-20 05:29:00",33.90488,-122.0832,300,"Front Survey (2)"
P1106MV,"Upfront 1",27,4,"2011-06-20 06:41:00",33.9099,-122.0665,300,"Front Survey (3); time off"
P1106MV,"Upfront 1",33,5,"2011-06-20 07:55:00",33.91495,-122.0499,300,"Front Survey 4"
P1106MV,"Upfront 1",39,6,"2011-06-20 09:11:00",33.91983,-122.0333,300,"Front Survey (5)"
P1106MV,"Upfront 1",45,7,"2011-06-20 10:34:00",33.92485,-122.0165,300,"Front Survey (6)"
P1106MV,"Upfront 1",51,8,"2011-06-20 11:46:00",33.92927,-121.9987,300,"Front Survey (7); no bottles fired"
P1106MV,Test??,57,9,"2011-06-23 21:42:00",34.03998,-121.6966,1000,"Trace only, no bottles"
P1106MV,"Cycle 1",63,10,"2011-06-24 09:39:00",34.03473,-121.7015,500,
P1106MV,"Cycle 1",70,11,"2011-06-24 12:57:00",34.01752,-121.6784,200,Th
P1106MV,"Cycle 1",80,12,"2011-06-24 18:32:00",33.99725,-121.6347,500,
P1106MV,"Cycle 1",98,13,"2011-06-25 09:57:00",33.91493,-121.4621,500,
P1106MV,"Cycle 1",107,14,"2011-06-25 17:25:00",33.8658,-121.3725,500,
P1106MV,"Cycle 1",127,15,"2011-06-26 10:42:00",33.69713,-121.2299,500,"Th, organics"
P1106MV,"Cycle 1",150,16,"2011-06-27 09:42:00",33.57598,-121.7727,500,
P1106MV,"Cycle 1",157,17,"2011-06-27 12:24:00",33.56513,-121.7515,200,Th
P1106MV,"Cycle 1",171,18,"2011-06-27 18:51:00",33.52032,-121.7125,500,
P1106MV,"Cycle 2",180,19,"2011-06-28 02:56:00",33.47773,-121.666,100,Th
P1106MV,"Cycle 2",187,20,"2011-06-28 07:43:00",33.45165,-121.6562,200,"H2O for egg prod."
P1106MV,"Cycle 2",190,21,"2011-06-28 09:03:00",33.42105,-121.6237,500,
P1106MV,"Cycle 2",200,22,"2011-06-28 18:38:00",33.3591,-121.5739,500,"BioOptics, organics"
P1106MV,"Cycle 2",213,23,"2011-06-29 11:03:00",33.22278,-121.4633,500,"Th, exp"
P1106MV,"Cycle 3",228,24,"2011-06-30 09:08:00",34.10757,-121.6502,500,
P1106MV,"Cycle 3",235,25,"2011-06-30 12:02:00",34.0892,-121.6149,200,"Th, ZooP"
P1106MV,"Cycle 3",249,26,"2011-06-30 17:41:00",34.06848,-121.5803,50,"Cast to 50m at 10m/min"
P1106MV,"Cycle 3",249.1,27,"2011-06-30 17:58:00",34.06848,-121.5803,500,"BioOptics, organics"
P1106MV,"Cycle 3",255,28,"2011-07-01 02:43:00",34.07198,-121.5018,500,
P1106MV,"Cycle 3",262,29,"2011-07-01 07:50:00",34.05455,-121.4697,500,ZooP
P1106MV,"Cycle 3",265,30,"2011-07-01 09:08:00",34.05652,-121.474,500,
P1106MV,"Cycle 3",284,31,"2011-07-01 17:52:00",34.0824,-121.4387,500,"BioOptics, organics, DNA"
P1106MV,"Cycle 3",299,32,"2011-07-02 10:53:00",34.10408,-121.4234,500,"Th, Chl"
P1106MV,"Upfront 2",310,33,"2011-07-03 02:38:00",33.7876,-121.777,300,"Front Survey - Crossing 01"
P1106MV,"Upfront 2",317,34,"2011-07-03 03:35:00",33.80022,-121.7591,300,"Front Survey - Crossing 02"
P1106MV,"Upfront 2",322,35,"2011-07-03 04:39:00",33.81235,-121.7423,300,"Front Survey - Crossing 03"
P1106MV,"Upfront 2",328,36,"2011-07-03 05:40:00",33.8251,-121.7256,300,"Front Survey - Crossing 04"
P1106MV,"Upfront 2",334,37,"2011-07-03 06:41:00",33.83712,-121.7087,300,"Front Survey - Crossing 05; air in sensor"
P1106MV,"Upfront 2",340,38,"2011-07-03 07:47:00",33.84942,-121.692,300,"Front Survey - Crossing 06"
P1106MV,"Upfront 2",346,39,"2011-07-03 08:54:00",33.86205,-121.6746,300,"Front Survey - Crossing 07"
P1106MV,"Upfront 2",352,40,"2011-07-03 10:01:00",33.87442,-121.6571,300,"Front Survey - Crossing 08"
P1106MV,"Upfront 2",358,41,"2011-07-03 11:05:00",33.88623,-121.6392,300,"Front Survey - Crossing 09"
P1106MV,"Upfront 2",364,42,"2011-07-03 12:08:00",33.89928,-121.6231,300,"Front Survey - Crossing 10"
P1106MV,"Cycle 4",377,43,"2011-07-07 09:06:00",33.53258,-121.0931,500,
P1106MV,"Cycle 4",384,44,"2011-07-07 11:52:00",33.52733,-121.1152,500,"Th, ZooP"
P1106MV,"Cycle 4",398,45,"2011-07-07 18:12:00",33.49268,-121.1077,500,"Chl, organics, BioOptics"
P1106MV,"Cycle 4",408,46,"2011-07-08 03:11:00",33.44312,-121.1568,500,"N-15, nutrients"
P1106MV,"Cycle 4",415,47,"2011-07-08 08:12:00",33.39288,-121.1544,500,ZooP
P1106MV,"Cycle 4",418,48,"2011-07-08 09:05:00",33.38853,-121.1558,500,
P1106MV,"Cycle 4",439,49,"2011-07-08 18:02:00",33.29013,-121.1776,500,"nutrients, organics DNA, etc."
P1106MV,"Cycle 4",454,50,"2011-07-09 11:12:00",33.08905,-121.154,500,"Th, Chl"
P1106MV,"Cycle 5",465,51,"2011-07-10 09:12:00",33.4207,-121.3936,500,
P1106MV,"Cycle 5",469,52,"2011-07-10 12:25:00",33.38128,-121.4098,500,"Th, ZooP"
P1106MV,"Cycle 5",482,53,"2011-07-10 17:54:00",33.31892,-121.4109,500,"Chl, organics, BioOptics,DNA, etc."
P1106MV,"Cycle 5",491,54,"2011-07-11 03:02:00",33.18425,-121.4232,500,"Full dilution"
P1106MV,"Cycle 5",498,55,"2011-07-11 07:56:00",33.10515,-121.4077,500,
P1106MV,"Cycle 5",501,56,"2011-07-11 09:04:00",33.08437,-121.4067,500,
P1106MV,"Cycle 5",521,57,"2011-07-11 17:54:00",32.95623,-121.4082,500,"Chl, BioOptics, organics, etc."
P1106MV,"Cycle 5",534,58,"2011-07-12 10:33:00",32.7352,-121.2933,1000,"Chl, Th, organics"
P1106MV,"Cycle 6",547,59,"2011-07-13 11:08:00",33.5192,-121.1139,500,
P1106MV,"Cycle 6",552,60,"2011-07-13 13:17:00",33.49057,-121.1209,500,"Th, ZooP"
P1106MV,"Cycle 6",557,61,"2011-07-13 17:02:00",33.40598,-121.1721,500,"Chl, nutrients, organics, etc."
P1106MV,"Cycle 6",564,62,"2011-07-14 08:10:00",33.10332,-121.2548,500,ZooP
P1106MV,"Cycle 6",567,63,"2011-07-14 09:09:00",33.06902,-121.2561,500,
P1106MV,"Cycle 6",583,64,"2011-07-14 17:48:00",32.87317,-121.2635,500,"Chl, nutrients, organics, etc."
P1106MV,"Cycle 6",598,65,"2011-07-15 10:31:00",32.5824,-121.06525,500,"Th, Chl, ZooP"
P1106MV,"Upfront 3",610,66,"2011-07-16 03:48:00",33.60232,-120.85445,300,"Front Survey - No. 1"
P1106MV,"Upfront 3",616,67,"2011-07-16 04:55:00",33.59142,-120.89128,300,"Front Survey - No. 2"
P1106MV,"Upfront 3",622,68,"2011-07-16 05:50:00",33.58563,-120.91035,300,"Front Survey - No. 3"
P1106MV,"Upfront 3",628,69,"2011-07-16 06:45:00",33.58008,-120.92855,300,"Front Survey - No. 4"
P1106MV,"Upfront 3",634,70,"2011-07-16 07:45:00",33.57392,-120.94905,300,"Front Survey - No. 5"
P1106MV,"Upfront 3",640,71,"2011-07-16 08:44:00",33.56857,-120.96665,300,"Front Survey - No. 6"
P1106MV,"Upfront 3",646,72,"2011-07-16 09:50:00",33.5588,-120.99913,300,"Front Survey - No. 7; Btl 2 pinched o-ring"
P1106MV,"Upfront 3",652,73,"2011-07-16 10:53:00",33.55123,-121.02277,300,"Front Survey - No. 8"
P1106MV,"Upfront 3",658,74,"2011-07-16 11:58:00",33.54292,-121.05122,300,"Front Survey - No. 9"
P1106MV,"Upfront 3",664,75,"2011-07-16 13:02:00",33.53062,-121.08895,300,"Front Survey - 10"
P1208MV,Cycle0,6,1,"2012-07-28 22:12:00",33.099,-118.3114,,
P1208MV,Cycle0,18,2,"2012-07-29 20:58:00",34.31951,-120.1824,,
P1208MV,EFront1,85,3,"2012-08-04 22:06:00",34.60085,-123.0814,,"EFfront 1 Cast 1"
P1208MV,EFront1,92,4,"2012-08-05 02:38:00",34.59336,-122.9922,,"EFfront 1 Cast 2"
P1208MV,EFront1,97,5,"2012-08-05 04:22:00",34.58741,-122.9015,,"EFfront 1 Cast 3"
P1208MV,EFront1,104,6,"2012-08-05 06:19:00",34.58648,-122.8828,,"EFfront 1 Cast 4"
P1208MV,EFront1,110,7,"2012-08-05 07:40:00",34.58463,-122.8658,,"EFfront 1 Cast 5"
P1208MV,EFront1,115,8,"2012-08-05 08:45:00",34.58364,-122.8477,,"EFfront 1 Cast 6"
P1208MV,EFront1,120,9,"2012-08-05 09:49:00",34.58232,-122.8301,,"EFfront 1 Cast 7"
P1208MV,EFront1,125,10,"2012-08-05 11:03:00",34.57978,-122.7939,,"EFfront 1 Cast 8"
P1208MV,EFront1,129,11,"2012-08-05 12:09:00",34.57828,-122.7737,,"EFfront 1 Cast 9"
P1208MV,EFront1,134,12,"2012-08-05 13:09:00",34.57457,-122.7409,,"EFfront 1 Cast 10"
P1208MV,EFront1,141,13,"2012-08-05 15:06:00",34.57299,-122.6995,,"EFfront 1 Cast 11"
P1208MV,EFront1,146,14,"2012-08-05 16:40:00",34.5705,-122.6615,,"EFfront 1 Cast 12"
P1208MV,EFront1,151,15,"2012-08-05 18:13:00",34.56509,-122.577,,"EFfront 1 Cast 13"
P1208MV,Cycle1,163,17,"2012-08-06 09:15:00",34.56763,-122.7648,,"EFfront 1 Cast 14"
P1208MV,Cycle1,169,18,"2012-08-06 12:09:00",34.51485,-122.7927,,
P1208MV,Cycle1,178,19,"2012-08-06 17:48:00",34.43292,-122.8311,,
P1208MV,Cycle1,187,20,"2012-08-07 03:18:00",34.28846,-122.8579,,
P1208MV,Cycle1,195,21,"2012-08-07 08:58:00",34.21371,-122.9041,,
P1208MV,Cycle1,208,22,"2012-08-07 17:40:00",34.08419,-122.9431,,
P1208MV,Cycle1,216,23,"2012-08-08 02:11:00",33.96006,-122.96,,
P1208MV,Cycle1,224,24,"2012-08-08 09:06:00",33.85843,-122.9613,,
