Population,Date,Method ,Estimation,Observer1,Observer2,Observer3,Observer4,Observer5,Mean Transect Count,Est. N,Standard Error,Notes
g,10-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
G,29-Jul-98,transect,Transect to Craig,50,39,n/a,n/a,n/a,44.5,173.3,22.5,
G,3-Aug-98,transect,Transect to Craig,33,35,n/a,n/a,n/a,34,130.7,4,
G,10-Aug-98,transect,Transect to Craig,2,2,n/a,n/a,n/a,2,6.7,0,
H,29-Jul-98,transect,Transect to Craig,9,n/a,n/a,n/a,n/a,9,32.4,2.4,
H,3-Aug-98,transect,Transect to Craig,4,3,n/a,n/a,n/a,3.5,12,1.8,
H,10-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
I,27-Jul-98,transect,Transect to Craig,17,31,n/a,n/a,n/a,24,90.6,27.7,
I,4-Aug-98,transect,Transect to Craig,8,6,n/a,n/a,n/a,7,24.9,3.7,
I,10-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
J,27-Jul-98,transect,Transect to Craig,46,44,n/a,n/a,n/a,45,175.4,4.1,
J,4-Aug-98,transect,Transect to Craig,17,24,n/a,n/a,n/a,20.5,76.8,13.8,
J,10-Aug-98,transect,Transect to Craig,1,2,n/a,n/a,n/a,1.5,4.9,1.7,
K,27-Jul-98,transect,Transect to Craig,52,39,n/a,n/a,n/a,45.5,177.4,26.6,
K,3-Aug-98,transect,Transect to Craig,7,11,n/a,n/a,n/a,9,32.4,7.5,
K,10-Aug-98,transect,Transect to Craig,2,1,n/a,n/a,n/a,1.5,4.9,1.7,
L,27-Jul-98,transect,Transect to Craig,61,59,n/a,n/a,n/a,60,237.2,4.2,
L,4-Aug-98,transect,Transect to Craig,20,22,n/a,n/a,n/a,21,78.8,3.9,
L,10-Aug-98,transect,Transect to Craig,11,11,n/a,n/a,n/a,11,40,0,
M,27-Jul-98,transect,Transect to Craig,56,32,n/a,n/a,n/a,44,171.3,49,
M,3-Aug-98,transect,Transect to Craig,33,36,n/a,n/a,n/a,34.5,132.7,6.1,
M,10-Aug-98,transect,Transect to Craig,16,22,n/a,n/a,n/a,19,70.9,11.8,
N,27-Jul-98,transect,Transect to Craig,1,1,n/a,n/a,n/a,1,3.2,0,
N,3-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
N,10-Aug-98,transect,Transect to Craig,3,0,n/a,n/a,n/a,1.5,4.9,n/a,
O,27-Jul-98,transect,Transect to Craig,13,5,n/a,n/a,n/a,9,32.4,15.1,
O,3-Aug-98,transect,Transect to Craig,9,n/a,n/a,n/a,n/a,9,32.4,2.4,
O,10-Aug-98,transect,Transect to Craig,1,2,n/a,n/a,n/a,1.5,4.9,1.7,
P,27-Jul-98,transect,Transect to Craig,13,17,n/a,n/a,n/a,15,55.3,7.7,
P,3-Aug-98,transect,Transect to Craig,11,n/a,n/a,n/a,n/a,11,40,2.4,
P,10-Aug-98,transect,Transect to Craig,8,5,n/a,n/a,n/a,6.5,23,5.6,
Q,27-Jul-98,transect,Transect to Craig,38,29,n/a,n/a,n/a,33.5,128.7,18.1,
Q,3-Aug-98,transect,Transect to Craig,21,n/a,n/a,n/a,n/a,21,78.8,2.4,
Q,10-Aug-98,transect,Transect to Craig,5,6,n/a,n/a,n/a,5.5,19.3,1.8,
R,27-Jul-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
R,3-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
R,10-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
S,27-Jul-98,transect,Transect to Craig,1,0,n/a,n/a,n/a,0.5,1.6,n/a,
S,3-Aug-98,transect,Transect to Craig,1,n/a,n/a,n/a,n/a,1,3.2,2.4,
S,10-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
Y,29-Jul-98,transect,Transect to Craig,1,1,n/a,n/a,n/a,1,3.2,0,
Y,3-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
Y,10-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
Z,28-Jul-98,transect,Transect to Craig,19,23,19,n/a,n/a,20.3,76.2,7.4,
Z,3-Aug-98,transect,Transect to Craig,5,11,n/a,n/a,n/a,8,28.6,11.2,
Z,10-Aug-98,transect,Transect to Craig,2,2,n/a,n/a,n/a,2,6.7,0,
C,10-Aug-99,transect,Transect to Craig,19,17,n/a,n/a,n/a,18,67,3.9,
C,17-Aug-99,transect,Transect to Craig,7,9,n/a,n/a,n/a,8,28.6,3.8,
D,10-Aug-99,transect,Transect to Craig,20,21,n/a,n/a,n/a,20.5,76.8,2,
D,17-Aug-99,transect,Transect to Craig,7,15,n/a,n/a,n/a,11,40,15.2,
E,10-Aug-99,transect,Transect to Craig,32,22,n/a,n/a,n/a,27,102.6,19.9,
E,17-Aug-99,transect,Transect to Craig,35,32,n/a,n/a,n/a,33.5,128.7,6,
F,5-Aug-99,transect,Transect to Craig,30,23,n/a,n/a,n/a,26.5,100.6,13.9,
F,16-Aug-99,transect,Transect to Craig,11,8,n/a,n/a,n/a,9.5,34.3,5.7,
g,5-Aug-99,transect,Transect to Craig,50,71,n/a,n/a,n/a,60.5,239.3,43.6,
G,5-Aug-99,transect,Transect to Craig,139,88,n/a,n/a,n/a,113.5,463.3,109.3,
G,16-Aug-99,transect,Transect to Craig,45,48,n/a,n/a,n/a,46.5,181.5,6.1,
I,9-Aug-99,transect,Transect to Craig,15,20,n/a,n/a,n/a,17.5,65.1,9.8,
I,17-Aug-99,transect,Transect to Craig,6,18,n/a,n/a,n/a,12,43.8,22.9,
J,5-Aug-99,transect,Transect to Craig,32,63,n/a,n/a,n/a,47.5,185.6,63.6,
J,17-Aug-99,transect,Transect to Craig,58,60,n/a,n/a,n/a,59,233.1,4.1,
K,9-Aug-99,transect,Transect to Craig,24,22,n/a,n/a,n/a,23,86.7,4,
K,17-Aug-99,transect,Transect to Craig,22,35,n/a,n/a,n/a,28.5,108.6,26,
L,9-Aug-99,transect,Transect to Craig,40,55,n/a,n/a,n/a,47.5,185.6,30.8,
L,17-Aug-99,transect,Transect to Craig,72,114,n/a,n/a,n/a,93,375.9,89.1,
d,10-Aug-99,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
d,17-Aug-99,transect,Transect to Craig,0,1,n/a,n/a,n/a,0.5,1.6,n/a,
g,16-Aug-99,transect,Transect to Craig,32,40,n/a,n/a,n/a,36,138.8,16.2,
M,7-Aug-99,transect,Transect to Craig,55,56,n/a,n/a,n/a,55.5,218.6,2.1,
M,16-Aug-99,transect,Transect to Craig,40,26,n/a,n/a,n/a,33,126.6,28.2,
N,7-Aug-99,transect,Transect to Craig,0,n/a,n/a,n/a,n/a,0,0,n/a,
N,16-Aug-99,transect,Transect to Craig,1,1,n/a,n/a,n/a,1,3.2,0,
O,7-Aug-99,transect,Transect to Craig,13,15,n/a,n/a,n/a,14,51.5,3.9,
O,16-Aug-99,transect,Transect to Craig,5,6,n/a,n/a,n/a,5.5,19.3,1.8,
P,7-Aug-99,transect,Transect to Craig,37,30,n/a,n/a,n/a,33.5,128.7,14.1,
P,16-Aug-99,transect,Transect to Craig,17,25,n/a,n/a,n/a,21,78.8,15.8,
Q,7-Aug-99,transect,Transect to Craig,39,29,n/a,n/a,n/a,34,130.7,20.2,
Q,16-Aug-99,transect,Transect to Craig,12,5,n/a,n/a,n/a,8.5,30.5,13.2,
R,7-Aug-99,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
R,16-Aug-99,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
S,7-Aug-99,transect,Transect to Craig,5,5,n/a,n/a,n/a,5,17.5,0,
S,16-Aug-99,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
Y,9-Aug-99,transect,Transect to Craig,1,1,n/a,n/a,n/a,1,3.2,0,
Y,16-Aug-99,transect,Transect to Craig,1,2,n/a,n/a,n/a,1.5,4.9,1.7,
Z,9-Aug-99,transect,Transect to Craig,16,18,n/a,n/a,n/a,17,63.1,3.9,
Z,16-Aug-99,transect,Transect to Craig,13,9,n/a,n/a,n/a,11,40,7.6,
C,12-Aug-00,transect,Transect to Craig,2,1,2,n/a,n/a,1.7,5.5,1.6,
D,12-Aug-00,transect,Transect to Craig,0,0,0,n/a,n/a,0,0,n/a,
E,12-Aug-00,transect,Transect to Craig,5,3,3,n/a,n/a,3.7,12.6,3.4,
F,14-Aug-00,transect,Transect to Craig,15,8,n/a,n/a,n/a,11.5,41.9,13.4,
G,14-Aug-00,transect,Transect to Craig,16,14,n/a,n/a,n/a,15,55.3,3.9,
H,14-Aug-00,transect,Transect to Craig,4,8,0,n/a,n/a,4,13.8,n/a,
I,14-Aug-00,transect,Transect to Craig,15,17,n/a,n/a,n/a,16,59.2,3.9,
J,14-Aug-00,transect,Transect to Craig,5,16,5,n/a,n/a,8.7,31.1,19.7,
K,14-Aug-00,transect,Transect to Craig,12,3,6,n/a,n/a,7,24.9,14,
L,13-Aug-00,transect,Transect to Craig,69,80,58,n/a,n/a,69,274.7,37.5,
d,12-Aug-00,transect,Transect to Craig,0,0,0,n/a,n/a,0,0,n/a,
g,14-Aug-00,transect,Transect to Craig,16,n/a,n/a,n/a,n/a,16,59.2,2.4,
M,13-Aug-00,transect,Transect to Craig,30,32,26,n/a,n/a,29.3,111.9,10,
N,13-Aug-00,transect,Transect to Craig,1,1,4,n/a,n/a,2,6.7,5,
O,13-Aug-00,transect,Transect to Craig,7,3,8,n/a,n/a,6,21.1,7.9,
P,13-Aug-00,transect,Transect to Craig,28,41,54,n/a,n/a,41,159.1,43.2,
Q,16-Aug-00,transect,Transect to Craig,11,8,n/a,n/a,n/a,9.5,34.3,5.7,
R,16-Aug-00,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
S,16-Aug-00,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
Y,11-Aug-00,transect,Transect to Craig,4,0,1,n/a,n/a,1.7,5.5,n/a,
Z,11-Aug-00,transect,Transect to Craig,46,34,98,n/a,n/a,59.3,234.5,115.8,
F,6-Aug-01,transect,Transect to Craig,48,59,n/a,n/a,n/a,53.5,210.3,22.7,
F,20-Aug-01,transect,Transect to Craig,3,10,6,n/a,n/a,6.3,22.4,10.6,
G,6-Aug-01,transect,Transect to Craig,45,87,n/a,n/a,n/a,66,262.2,87.5,
g,6-Aug-01,transect,Transect to Craig,88,65,n/a,n/a,n/a,76.5,306.2,48.3,
g,20-Aug-01,transect,Transect to Craig,6,8,7,n/a,n/a,7,24.9,3,
G,20-Aug-01,transect,Transect to Craig,16,15,11,n/a,n/a,14,51.5,8.3,
I,13-Aug-01,transect,Transect to Craig,21,11,9,n/a,n/a,13.7,50.2,20.3,
J,13-Aug-01,transect,Transect to Craig,33,50,40,n/a,n/a,41,159.1,28.4,
K,13-Aug-01,transect,Transect to Craig,15,42,14,n/a,n/a,23.7,89.3,51.8,
L,13-Aug-01,transect,Transect to Craig,47,62,83,n/a,n/a,64,253.9,61.5,
M,13-Aug-01,transect,Transect to Craig,74,104,44,n/a,n/a,74,295.7,102.6,
N,27-Jul-01,transect,Transect to Craig,4,2,4,6,10,5.2,18.2,10,
N,10-Aug-01,transect,Transect to Craig,2,8,6,14,n/a,7.5,26.7,16.2,
N,20-Aug-01,transect,Transect to Craig,3,3,n/a,n/a,n/a,3,10.2,0,
O,27-Jul-01,transect,Transect to Craig,20,26,14,40,n/a,25,94.6,38.4,
O,10-Aug-01,transect,Transect to Craig,23,34,50,84,n/a,47.8,186.7,94.9,
O,20-Aug-01,transect,Transect to Craig,25,11,n/a,n/a,n/a,18,67,27.3,
R,2-Aug-01,transect,Transect to Craig,1,2,2,4,n/a,2.3,7.5,2.6,
R,16-Aug-01,transect,Transect to Craig,6,6,6,n/a,n/a,6,21.1,0,
S,2-Aug-01,transect,Transect to Craig,9,15,19,34,n/a,19.3,71.9,24.8,
S,16-Aug-01,transect,Transect to Craig,3,3,2,n/a,n/a,2.7,9,1.7,
Y,14-Aug-01,transect,Transect to Craig,2,6,5,n/a,n/a,4.3,15,6.1,
Z,14-Aug-01,transect,Transect to Craig,83,87,110,n/a,n/a,93.3,377.3,50.6,
I,10-Aug-02,transect,Transect to Craig,2,n/a,n/a,n/a,n/a,2,6.7,2.4,
J,10-Aug-02,transect,Transect to Craig,32,n/a,n/a,n/a,n/a,32,122.6,2.4,
K,10-Aug-02,transect,Transect to Craig,35,n/a,n/a,n/a,n/a,35,134.7,2.4,
I,5-Aug-03,transect,Transect to Craig,0,0,2,n/a,n/a,0.7,2.1,n/a,
J,5-Aug-03,transect,Transect to Craig,3,1,3,n/a,n/a,2.3,7.8,3.3,
K,5-Aug-03,transect,Transect to Craig,0,0,0,n/a,n/a,0,0,n/a,
