date,station_name,station_id,swe_mm_startofday,change_swe,snowdepth_cm_startofday,change_snowdepth_cm,elevation_ft,lat,lon
1/12/17,Burnside Lake,1051,612,13,239,-7,8129,38.71943,-119.8942
1/13/17,Burnside Lake,1051,622,10,241,2,8129,38.71943,-119.8942
1/14/17,Burnside Lake,1051,622,0,231,-10,8129,38.71943,-119.8942
1/15/17,Burnside Lake,1051,622,0,218,-13,8129,38.71943,-119.8942
1/1/17,Carson Pass,1067,165,,64,,8360,38.6927,-120.0022
1/2/17,Carson Pass,1067,165,0,66,2,8360,38.6927,-120.0022
1/3/17,Carson Pass,1067,175,10,91,25,8360,38.6927,-120.0022
1/4/17,Carson Pass,1067,221,46,109,18,8360,38.6927,-120.0022
1/5/17,Carson Pass,1067,287,66,119,10,8360,38.6927,-120.0022
1/6/17,Carson Pass,1067,297,10,122,3,8360,38.6927,-120.0022
1/7/17,Carson Pass,1067,297,0,122,0,8360,38.6927,-120.0022
1/8/17,Carson Pass,1067,335,38,135,13,8360,38.6927,-120.0022
1/9/17,Carson Pass,1067,381,46,130,-5,8360,38.6927,-120.0022
1/10/17,Carson Pass,1067,409,28,150,20,8360,38.6927,-120.0022
1/11/17,Carson Pass,1067,526,117,218,68,8360,38.6927,-120.0022
1/12/17,Carson Pass,1067,551,25,221,3,8360,38.6927,-120.0022
1/13/17,Carson Pass,1067,566,15,229,8,8360,38.6927,-120.0022
1/14/17,Carson Pass,1067,564,-2,218,-11,8360,38.6927,-120.0022
1/15/17,Carson Pass,1067,564,0,211,-7,8360,38.6927,-120.0022
1/1/17,Cedar Pass,391,196,,69,,7030,41.58233,-120.3025
1/2/17,Cedar Pass,391,208,12,76,7,7030,41.58233,-120.3025
1/3/17,Cedar Pass,391,221,13,97,21,7030,41.58233,-120.3025
1/4/17,Cedar Pass,391,239,18,104,7,7030,41.58233,-120.3025
1/5/17,Cedar Pass,391,257,18,109,5,7030,41.58233,-120.3025
1/6/17,Cedar Pass,391,259,2,109,0,7030,41.58233,-120.3025
1/7/17,Cedar Pass,391,259,0,104,-5,7030,41.58233,-120.3025
1/8/17,Cedar Pass,391,269,10,104,0,7030,41.58233,-120.3025
1/9/17,Cedar Pass,391,267,-2,94,-10,7030,41.58233,-120.3025
1/10/17,Cedar Pass,391,279,12,99,5,7030,41.58233,-120.3025
1/11/17,Cedar Pass,391,305,26,109,10,7030,41.58233,-120.3025
1/12/17,Cedar Pass,391,312,7,112,3,7030,41.58233,-120.3025
1/13/17,Cedar Pass,391,312,0,112,0,7030,41.58233,-120.3025
1/14/17,Cedar Pass,391,315,3,109,-3,7030,41.58233,-120.3025
1/15/17,Cedar Pass,391,315,0,107,-2,7030,41.58233,-120.3025
1/1/17,Crowder Flat,977,20,,8,,5170,41.89318,-120.75202
1/2/17,Crowder Flat,977,23,3,10,2,5170,41.89318,-120.75202
1/3/17,Crowder Flat,977,28,5,15,5,5170,41.89318,-120.75202
1/4/17,Crowder Flat,977,46,18,36,21,5170,41.89318,-120.75202
1/5/17,Crowder Flat,977,51,5,33,-3,5170,41.89318,-120.75202
1/6/17,Crowder Flat,977,51,0,30,-3,5170,41.89318,-120.75202
1/7/17,Crowder Flat,977,51,0,28,-2,5170,41.89318,-120.75202
1/8/17,Crowder Flat,977,58,7,28,0,5170,41.89318,-120.75202
1/9/17,Crowder Flat,977,61,3,18,-10,5170,41.89318,-120.75202
1/10/17,Crowder Flat,977,64,3,20,2,5170,41.89318,-120.75202
1/11/17,Crowder Flat,977,69,5,15,-5,5170,41.89318,-120.75202
1/12/17,Crowder Flat,977,71,2,20,5,5170,41.89318,-120.75202
1/13/17,Crowder Flat,977,74,3,23,3,5170,41.89318,-120.75202
1/14/17,Crowder Flat,977,74,0,25,2,5170,41.89318,-120.75202
1/15/17,Crowder Flat,977,74,0,25,0,5170,41.89318,-120.75202
1/1/17,Css Lab,428,170,,66,,6855,39.32565,-120.36807
1/2/17,Css Lab,428,188,18,76,10,6855,39.32565,-120.36807
1/3/17,Css Lab,428,229,41,122,46,6855,39.32565,-120.36807
1/4/17,Css Lab,428,292,63,152,30,6855,39.32565,-120.36807
1/5/17,Css Lab,428,406,114,196,44,6855,39.32565,-120.36807
1/6/17,Css Lab,428,422,16,183,-13,6855,39.32565,-120.36807
1/7/17,Css Lab,428,422,0,170,-13,6855,39.32565,-120.36807
1/8/17,Css Lab,428,457,35,165,-5,6855,39.32565,-120.36807
1/9/17,Css Lab,428,592,135,152,-13,6855,39.32565,-120.36807
1/10/17,Css Lab,428,650,58,188,36,6855,39.32565,-120.36807
1/11/17,Css Lab,428,754,104,284,96,6855,39.32565,-120.36807
1/12/17,Css Lab,428,790,36,287,3,6855,39.32565,-120.36807
1/13/17,Css Lab,428,803,13,284,-3,6855,39.32565,-120.36807
1/14/17,Css Lab,428,803,0,269,-15,6855,39.32565,-120.36807
1/15/17,Css Lab,428,803,0,262,-7,6855,39.32565,-120.36807
1/1/17,Dismal Swamp,446,262,,94,,7360,41.99127,-120.18033
1/2/17,Dismal Swamp,446,269,7,112,18,7360,41.99127,-120.18033
1/3/17,Dismal Swamp,446,279,10,122,10,7360,41.99127,-120.18033
1/4/17,Dismal Swamp,446,307,28,142,20,7360,41.99127,-120.18033
1/5/17,Dismal Swamp,446,325,18,142,0,7360,41.99127,-120.18033
1/6/17,Dismal Swamp,446,323,-2,135,-7,7360,41.99127,-120.18033
1/7/17,Dismal Swamp,446,325,2,132,-3,7360,41.99127,-120.18033
1/8/17,Dismal Swamp,446,345,20,140,8,7360,41.99127,-120.18033
1/9/17,Dismal Swamp,446,409,64,150,10,7360,41.99127,-120.18033
1/10/17,Dismal Swamp,446,439,30,157,7,7360,41.99127,-120.18033
1/11/17,Dismal Swamp,446,480,41,180,23,7360,41.99127,-120.18033
1/12/17,Dismal Swamp,446,483,3,175,-5,7360,41.99127,-120.18033
1/13/17,Dismal Swamp,446,483,0,170,-5,7360,41.99127,-120.18033
1/14/17,Dismal Swamp,446,483,0,165,-5,7360,41.99127,-120.18033
1/15/17,Dismal Swamp,446,483,0,163,-2,7360,41.99127,-120.18033
1/1/17,Ebbetts Pass,462,292,,97,,8660,38.54955,-119.80465
1/2/17,Ebbetts Pass,462,292,0,94,-3,8660,38.54955,-119.80465
1/3/17,Ebbetts Pass,462,300,8,102,8,8660,38.54955,-119.80465
1/4/17,Ebbetts Pass,462,338,38,122,20,8660,38.54955,-119.80465
1/5/17,Ebbetts Pass,462,414,76,157,35,8660,38.54955,-119.80465
1/6/17,Ebbetts Pass,462,419,5,152,-5,8660,38.54955,-119.80465
1/7/17,Ebbetts Pass,462,427,8,147,-5,8660,38.54955,-119.80465
1/8/17,Ebbetts Pass,462,488,61,165,18,8660,38.54955,-119.80465
1/9/17,Ebbetts Pass,462,589,101,170,5,8660,38.54955,-119.80465
1/10/17,Ebbetts Pass,462,648,59,193,23,8660,38.54955,-119.80465
1/11/17,Ebbetts Pass,462,757,109,231,38,8660,38.54955,-119.80465
1/12/17,Ebbetts Pass,462,800,43,246,15,8660,38.54955,-119.80465
1/13/17,Ebbetts Pass,462,828,28,254,8,8660,38.54955,-119.80465
1/14/17,Ebbetts Pass,462,846,18,251,-3,8660,38.54955,-119.80465
1/15/17,Ebbetts Pass,462,846,0,244,-7,8660,38.54955,-119.80465
1/1/17,Echo Peak,463,290,,81,,7670,38.84903,-120.0785
1/2/17,Echo Peak,463,292,2,84,3,7670,38.84903,-120.0785
1/3/17,Echo Peak,463,330,38,119,35,7670,38.84903,-120.0785
1/4/17,Echo Peak,463,396,66,147,28,7670,38.84903,-120.0785
1/5/17,Echo Peak,463,533,137,196,49,7670,38.84903,-120.0785
1/6/17,Echo Peak,463,538,5,188,-8,7670,38.84903,-120.0785
1/7/17,Echo Peak,463,538,0,180,-8,7670,38.84903,-120.0785
1/8/17,Echo Peak,463,564,26,178,-2,7670,38.84903,-120.0785
1/9/17,Echo Peak,463,541,-23,170,-8,7670,38.84903,-120.0785
1/10/17,Echo Peak,463,625,84,185,15,7670,38.84903,-120.0785
1/11/17,Echo Peak,463,767,142,254,69,7670,38.84903,-120.0785
1/12/17,Echo Peak,463,826,59,267,13,7670,38.84903,-120.0785
1/13/17,Echo Peak,463,843,17,264,-3,7670,38.84903,-120.0785
1/14/17,Echo Peak,463,853,10,254,-10,7670,38.84903,-120.0785
1/15/17,Echo Peak,463,859,6,249,-5,7670,38.84903,-120.0785
1/1/17,Fallen Leaf,473,23,,10,,6236,38.93405,-120.05457
1/2/17,Fallen Leaf,473,23,0,13,3,6236,38.93405,-120.05457
1/3/17,Fallen Leaf,473,41,18,30,17,6236,38.93405,-120.05457
1/4/17,Fallen Leaf,473,74,33,48,18,6236,38.93405,-120.05457
1/5/17,Fallen Leaf,473,119,45,41,-7,6236,38.93405,-120.05457
1/6/17,Fallen Leaf,473,117,-2,38,-3,6236,38.93405,-120.05457
1/7/17,Fallen Leaf,473,117,0,38,0,6236,38.93405,-120.05457
1/8/17,Fallen Leaf,473,122,5,33,-5,6236,38.93405,-120.05457
1/9/17,Fallen Leaf,473,89,-33,23,-10,6236,38.93405,-120.05457
1/10/17,Fallen Leaf,473,104,15,41,18,6236,38.93405,-120.05457
1/11/17,Fallen Leaf,473,193,89,99,58,6236,38.93405,-120.05457
1/12/17,Fallen Leaf,473,206,13,94,-5,6236,38.93405,-120.05457
1/13/17,Fallen Leaf,473,211,5,86,-8,6236,38.93405,-120.05457
1/14/17,Fallen Leaf,473,211,0,81,-5,6236,38.93405,-120.05457
1/15/17,Fallen Leaf,473,211,0,76,-5,6236,38.93405,-120.05457
1/1/17,Forestdale Creek,1049,196,,66,,8017,38.68245,-119.9597
1/2/17,Forestdale Creek,1049,196,0,66,0,8017,38.68245,-119.9597
1/3/17,Forestdale Creek,1049,213,17,81,15,8017,38.68245,-119.9597
1/4/17,Forestdale Creek,1049,269,56,124,43,8017,38.68245,-119.9597
1/5/17,Forestdale Creek,1049,371,102,168,44,8017,38.68245,-119.9597
1/6/17,Forestdale Creek,1049,386,15,160,-8,8017,38.68245,-119.9597
1/7/17,Forestdale Creek,1049,389,3,150,-10,8017,38.68245,-119.9597
1/8/17,Forestdale Creek,1049,444,55,157,7,8017,38.68245,-119.9597
1/9/17,Forestdale Creek,1049,561,117,150,-7,8017,38.68245,-119.9597
1/10/17,Forestdale Creek,1049,572,11,180,30,8017,38.68245,-119.9597
1/11/17,Forestdale Creek,1049,678,106,246,66,8017,38.68245,-119.9597
1/12/17,Forestdale Creek,1049,693,15,239,-7,8017,38.68245,-119.9597
1/13/17,Forestdale Creek,1049,698,5,262,23,8017,38.68245,-119.9597
1/14/17,Forestdale Creek,1049,698,0,249,-13,8017,38.68245,-119.9597
1/15/17,Forestdale Creek,1049,698,0,239,-10,8017,38.68245,-119.9597
1/1/17,Fredonyer Peak,1277,66,,28,,7221,40.688,-120.6082
1/2/17,Fredonyer Peak,1277,66,0,28,0,7221,40.688,-120.6082
1/3/17,Fredonyer Peak,1277,81,15,46,18,7221,40.688,-120.6082
1/4/17,Fredonyer Peak,1277,102,21,64,18,7221,40.688,-120.6082
1/5/17,Fredonyer Peak,1277,114,12,69,5,7221,40.688,-120.6082
1/6/17,Fredonyer Peak,1277,109,-5,66,-3,7221,40.688,-120.6082
1/7/17,Fredonyer Peak,1277,117,8,61,-5,7221,40.688,-120.6082
1/8/17,Fredonyer Peak,1277,124,7,58,-3,7221,40.688,-120.6082
1/9/17,Fredonyer Peak,1277,137,13,51,-7,7221,40.688,-120.6082
1/10/17,Fredonyer Peak,1277,147,10,58,7,7221,40.688,-120.6082
1/11/17,Fredonyer Peak,1277,188,41,94,36,7221,40.688,-120.6082
1/12/17,Fredonyer Peak,1277,196,8,89,-5,7221,40.688,-120.6082
1/13/17,Fredonyer Peak,1277,198,2,91,2,7221,40.688,-120.6082
1/14/17,Fredonyer Peak,1277,198,0,86,-5,7221,40.688,-120.6082
1/15/17,Fredonyer Peak,1277,198,0,84,-2,7221,40.688,-120.6082
1/1/17,Hagan's Meadow,508,97,,33,,7776,38.85185,-119.93742
1/2/17,Hagan's Meadow,508,99,2,36,3,7776,38.85185,-119.93742
1/3/17,Hagan's Meadow,508,102,3,43,7,7776,38.85185,-119.93742
1/4/17,Hagan's Meadow,508,114,12,66,23,7776,38.85185,-119.93742
1/5/17,Hagan's Meadow,508,190,76,117,51,7776,38.85185,-119.93742
1/6/17,Hagan's Meadow,508,203,13,109,-8,7776,38.85185,-119.93742
1/7/17,Hagan's Meadow,508,208,5,104,-5,7776,38.85185,-119.93742
1/8/17,Hagan's Meadow,508,229,21,99,-5,7776,38.85185,-119.93742
1/9/17,Hagan's Meadow,508,239,10,86,-13,7776,38.85185,-119.93742
1/10/17,Hagan's Meadow,508,274,35,112,26,7776,38.85185,-119.93742
1/11/17,Hagan's Meadow,508,340,66,170,58,7776,38.85185,-119.93742
1/12/17,Hagan's Meadow,508,361,21,168,-2,7776,38.85185,-119.93742
1/13/17,Hagan's Meadow,508,363,2,165,-3,7776,38.85185,-119.93742
1/14/17,Hagan's Meadow,508,363,0,155,-10,7776,38.85185,-119.93742
1/15/17,Hagan's Meadow,508,363,0,150,-5,7776,38.85185,-119.93742
1/1/17,Heavenly Valley,518,198,,71,,8582,38.92433,-119.91647
1/2/17,Heavenly Valley,518,201,3,71,0,8582,38.92433,-119.91647
1/3/17,Heavenly Valley,518,213,12,84,13,8582,38.92433,-119.91647
1/4/17,Heavenly Valley,518,249,36,102,18,8582,38.92433,-119.91647
1/5/17,Heavenly Valley,518,366,117,155,53,8582,38.92433,-119.91647
1/6/17,Heavenly Valley,518,366,0,150,-5,8582,38.92433,-119.91647
1/7/17,Heavenly Valley,518,376,10,142,-8,8582,38.92433,-119.91647
1/8/17,Heavenly Valley,518,401,25,145,3,8582,38.92433,-119.91647
1/9/17,Heavenly Valley,518,457,56,150,5,8582,38.92433,-119.91647
1/10/17,Heavenly Valley,518,505,48,175,25,8582,38.92433,-119.91647
1/11/17,Heavenly Valley,518,579,74,211,36,8582,38.92433,-119.91647
1/12/17,Heavenly Valley,518,605,26,224,13,8582,38.92433,-119.91647
1/13/17,Heavenly Valley,518,612,7,218,-6,8582,38.92433,-119.91647
1/14/17,Heavenly Valley,518,612,0,211,-7,8582,38.92433,-119.91647
1/15/17,Heavenly Valley,518,612,0,203,-8,8582,38.92433,-119.91647
1/1/17,Horse Meadow,1050,173,,61,,8557,38.83652,-119.88732
1/2/17,Horse Meadow,1050,173,0,64,3,8557,38.83652,-119.88732
1/3/17,Horse Meadow,1050,178,5,66,2,8557,38.83652,-119.88732
1/4/17,Horse Meadow,1050,211,33,91,25,8557,38.83652,-119.88732
1/5/17,Horse Meadow,1050,302,91,145,54,8557,38.83652,-119.88732
1/6/17,Horse Meadow,1050,307,5,137,-8,8557,38.83652,-119.88732
1/7/17,Horse Meadow,1050,310,3,127,-10,8557,38.83652,-119.88732
1/8/17,Horse Meadow,1050,338,28,142,15,8557,38.83652,-119.88732
1/9/17,Horse Meadow,1050,381,43,142,0,8557,38.83652,-119.88732
1/10/17,Horse Meadow,1050,419,38,165,23,8557,38.83652,-119.88732
1/11/17,Horse Meadow,1050,498,79,208,43,8557,38.83652,-119.88732
1/12/17,Horse Meadow,1050,513,15,213,5,8557,38.83652,-119.88732
1/13/17,Horse Meadow,1050,521,8,211,-2,8557,38.83652,-119.88732
1/14/17,Horse Meadow,1050,521,0,201,-10,8557,38.83652,-119.88732
1/15/17,Horse Meadow,1050,521,0,193,-8,8557,38.83652,-119.88732
1/1/17,Independence Camp,539,25,,13,,7003,39.4528,-120.29268
1/2/17,Independence Camp,539,28,3,18,5,7003,39.4528,-120.29268
1/3/17,Independence Camp,539,41,13,36,18,7003,39.4528,-120.29268
1/4/17,Independence Camp,539,66,25,43,7,7003,39.4528,-120.29268
1/5/17,Independence Camp,539,132,66,84,41,7003,39.4528,-120.29268
1/6/17,Independence Camp,539,140,8,79,-5,7003,39.4528,-120.29268
1/7/17,Independence Camp,539,145,5,71,-8,7003,39.4528,-120.29268
1/8/17,Independence Camp,539,160,15,66,-5,7003,39.4528,-120.29268
1/9/17,Independence Camp,539,168,8,51,-15,7003,39.4528,-120.29268
1/10/17,Independence Camp,539,183,15,64,13,7003,39.4528,-120.29268
1/11/17,Independence Camp,539,257,74,102,38,7003,39.4528,-120.29268
1/12/17,Independence Camp,539,274,17,109,7,7003,39.4528,-120.29268
1/13/17,Independence Camp,539,284,10,114,5,7003,39.4528,-120.29268
1/14/17,Independence Camp,539,284,0,109,-5,7003,39.4528,-120.29268
1/15/17,Independence Camp,539,284,0,107,-2,7003,39.4528,-120.29268
1/1/17,Independence Creek,540,25,,13,,6456,39.49017,-120.28128
1/2/17,Independence Creek,540,33,8,18,5,6456,39.49017,-120.28128
1/3/17,Independence Creek,540,53,20,38,20,6456,39.49017,-120.28128
1/4/17,Independence Creek,540,81,28,46,8,6456,39.49017,-120.28128
1/5/17,Independence Creek,540,132,51,61,15,6456,39.49017,-120.28128
1/6/17,Independence Creek,540,132,0,56,-5,6456,39.49017,-120.28128
1/7/17,Independence Creek,540,132,0,51,-5,6456,39.49017,-120.28128
1/8/17,Independence Creek,540,140,8,46,-5,6456,39.49017,-120.28128
1/9/17,Independence Creek,540,135,-5,36,-10,6456,39.49017,-120.28128
1/10/17,Independence Creek,540,155,20,61,25,6456,39.49017,-120.28128
1/11/17,Independence Creek,540,221,66,99,38,6456,39.49017,-120.28128
1/12/17,Independence Creek,540,231,10,97,-2,6456,39.49017,-120.28128
1/13/17,Independence Creek,540,234,3,99,2,6456,39.49017,-120.28128
1/14/17,Independence Creek,540,234,0,91,-8,6456,39.49017,-120.28128
1/15/17,Independence Creek,540,234,0,89,-2,6456,39.49017,-120.28128
1/1/17,Independence Lake,541,320,,97,,8352,39.42752,-120.31342
1/2/17,Independence Lake,541,323,3,99,2,8352,39.42752,-120.31342
1/3/17,Independence Lake,541,353,30,109,10,8352,39.42752,-120.31342
1/4/17,Independence Lake,541,411,58,140,31,8352,39.42752,-120.31342
1/5/17,Independence Lake,541,513,102,152,12,8352,39.42752,-120.31342
1/6/17,Independence Lake,541,521,8,155,3,8352,39.42752,-120.31342
1/7/17,Independence Lake,541,526,5,152,-3,8352,39.42752,-120.31342
1/8/17,Independence Lake,541,574,48,173,21,8352,39.42752,-120.31342
1/9/17,Independence Lake,541,696,122,203,30,8352,39.42752,-120.31342
1/10/17,Independence Lake,541,747,51,229,26,8352,39.42752,-120.31342
1/11/17,Independence Lake,541,884,137,292,63,8352,39.42752,-120.31342
1/12/17,Independence Lake,541,914,30,297,5,8352,39.42752,-120.31342
1/13/17,Independence Lake,541,919,5,292,-5,8352,39.42752,-120.31342
1/14/17,Independence Lake,541,919,0,282,-10,8352,39.42752,-120.31342
1/15/17,Independence Lake,541,919,0,279,-3,8352,39.42752,-120.31342
1/1/17,Leavitt Lake,574,493,,175,,9617,38.27603,-119.61182
1/2/17,Leavitt Lake,574,498,5,175,0,9617,38.27603,-119.61182
1/3/17,Leavitt Lake,574,511,13,203,28,9617,38.27603,-119.61182
1/4/17,Leavitt Lake,574,551,40,221,18,9617,38.27603,-119.61182
1/5/17,Leavitt Lake,574,643,92,246,25,9617,38.27603,-119.61182
1/6/17,Leavitt Lake,574,673,30,249,3,9617,38.27603,-119.61182
1/7/17,Leavitt Lake,574,686,13,244,-5,9617,38.27603,-119.61182
1/8/17,Leavitt Lake,574,749,63,274,30,9617,38.27603,-119.61182
1/9/17,Leavitt Lake,574,922,173,340,66,9617,38.27603,-119.61182
1/10/17,Leavitt Lake,574,996,74,371,31,9617,38.27603,-119.61182
1/11/17,Leavitt Lake,574,1115,119,396,25,9617,38.27603,-119.61182
1/12/17,Leavitt Lake,574,1168,53,429,33,9617,38.27603,-119.61182
1/13/17,Leavitt Lake,574,1184,16,414,-15,9617,38.27603,-119.61182
1/14/17,Leavitt Lake,574,1189,5,401,-13,9617,38.27603,-119.61182
1/15/17,Leavitt Lake,574,1189,0,389,-12,9617,38.27603,-119.61182
1/1/17,Leavitt Meadows,575,28,,10,,7198,38.30377,-119.55017
1/2/17,Leavitt Meadows,575,23,-5,10,0,7198,38.30377,-119.55017
1/3/17,Leavitt Meadows,575,28,5,15,5,7198,38.30377,-119.55017
1/4/17,Leavitt Meadows,575,48,20,33,18,7198,38.30377,-119.55017
1/5/17,Leavitt Meadows,575,112,64,51,18,7198,38.30377,-119.55017
1/6/17,Leavitt Meadows,575,117,5,46,-5,7198,38.30377,-119.55017
1/7/17,Leavitt Meadows,575,117,0,43,-3,7198,38.30377,-119.55017
1/8/17,Leavitt Meadows,575,132,15,41,-2,7198,38.30377,-119.55017
1/9/17,Leavitt Meadows,575,122,-10,36,-5,7198,38.30377,-119.55017
1/10/17,Leavitt Meadows,575,150,28,58,22,7198,38.30377,-119.55017
1/11/17,Leavitt Meadows,575,198,48,89,31,7198,38.30377,-119.55017
1/12/17,Leavitt Meadows,575,221,23,97,8,7198,38.30377,-119.55017
1/13/17,Leavitt Meadows,575,239,18,112,15,7198,38.30377,-119.55017
1/14/17,Leavitt Meadows,575,239,0,107,-5,7198,38.30377,-119.55017
1/15/17,Leavitt Meadows,575,239,0,99,-8,7198,38.30377,-119.55017
1/1/17,Lobdell Lake,587,91,,43,,9233,38.43745,-119.36572
1/2/17,Lobdell Lake,587,91,0,43,0,9233,38.43745,-119.36572
1/3/17,Lobdell Lake,587,91,0,43,0,9233,38.43745,-119.36572
1/4/17,Lobdell Lake,587,107,16,56,13,9233,38.43745,-119.36572
1/5/17,Lobdell Lake,587,165,58,94,38,9233,38.43745,-119.36572
1/6/17,Lobdell Lake,587,170,5,94,0,9233,38.43745,-119.36572
1/7/17,Lobdell Lake,587,170,0,89,-5,9233,38.43745,-119.36572
1/8/17,Lobdell Lake,587,188,18,102,13,9233,38.43745,-119.36572
1/9/17,Lobdell Lake,587,251,63,114,12,9233,38.43745,-119.36572
1/10/17,Lobdell Lake,587,290,39,137,23,9233,38.43745,-119.36572
1/11/17,Lobdell Lake,587,328,38,163,26,9233,38.43745,-119.36572
1/12/17,Lobdell Lake,587,343,15,163,0,9233,38.43745,-119.36572
1/13/17,Lobdell Lake,587,356,13,163,0,9233,38.43745,-119.36572
1/14/17,Lobdell Lake,587,356,0,157,-6,9233,38.43745,-119.36572
1/15/17,Lobdell Lake,587,356,0,150,-7,9233,38.43745,-119.36572
1/1/17,Monitor Pass,633,91,,38,,8310,38.66828,-119.60867
1/2/17,Monitor Pass,633,91,0,38,0,8310,38.66828,-119.60867
1/3/17,Monitor Pass,633,94,3,41,3,8310,38.66828,-119.60867
1/4/17,Monitor Pass,633,104,10,48,7,8310,38.66828,-119.60867
1/5/17,Monitor Pass,633,168,64,94,46,8310,38.66828,-119.60867
1/6/17,Monitor Pass,633,170,2,89,-5,8310,38.66828,-119.60867
1/7/17,Monitor Pass,633,173,3,84,-5,8310,38.66828,-119.60867
1/8/17,Monitor Pass,633,193,20,86,2,8310,38.66828,-119.60867
1/9/17,Monitor Pass,633,241,48,86,0,8310,38.66828,-119.60867
1/10/17,Monitor Pass,633,267,26,109,23,8310,38.66828,-119.60867
1/11/17,Monitor Pass,633,310,43,135,26,8310,38.66828,-119.60867
1/12/17,Monitor Pass,633,328,18,140,5,8310,38.66828,-119.60867
1/13/17,Monitor Pass,633,345,17,150,10,8310,38.66828,-119.60867
1/14/17,Monitor Pass,633,345,0,142,-8,8310,38.66828,-119.60867
1/15/17,Monitor Pass,633,345,0,135,-7,8310,38.66828,-119.60867
1/1/17,Poison Flat,697,104,,33,,7736,38.50553,-119.62612
